Item_ID,type_1,sti_1,div_1,sti_2,Relation_1,type_2,sti_3,div_2,sti_4,Relation_2,type_3,sti_5,div_3,sti_6,Relation_3,type_4,sti_7,div_4,sti_8,Relation_4,type_q,sti_q1,div_q,sti_q2,Question_1,sti_q3,div_q2,sti_q4,Question_2
18,0,1,は,2,と違っている,0,2,は,3,と違っている,,,,,,,,,,,0,2,は,3,と同じですか？,,,,
19,0,1,は,2,と違っている,0,2,は,3,と違っている,,,,,,,,,,,0,1,は,3,と同じですか？,,,,
20,0,1,は,2,と同じである,0,3,は,1,と同じである,,,,,,,,,,,0,2,は,3,と同じですか？,,,,
21,0,1,は,2,と同じである,0,3,は,1,と同じである,,,,,,,,,,,0,2,は,3,と同じですか？,,,,
22,0,1,は,2,と違っている,0,2,は,3,と違っている,,,,,,,,,,,0,1,は,2,と同じですか？,,,,
23,0,1,は,2,と違っている,0,3,は,1,と違っている,,,,,,,,,,,0,2,は,1,と違いますか？,,,,
24,0,1,は,2,と違っている,0,2,は,3,と同じである,,,,,,,,,,,0,3,は,1,と同じですか？,,,,
25,0,1,は,2,と同じである,0,2,は,3,と違っている,,,,,,,,,,,0,1,は,2,と違いますか？,,,,
26,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と同じである,,,,,,0,2,は,3,と同じですか？,,,,
27,0,1,は,2,と違っている,0,2,は,3,と違っている,0,3,は,4,と違っている,,,,,,0,2,は,1,と違いますか？,,,,
28,0,1,は,2,と同じである,0,2,は,3,と同じである,0,3,は,4,と違っている,,,,,,0,2,は,3,と同じですか？,,,,
29,0,1,は,2,と違っている,0,2,は,3,と同じである,0,3,は,4,と同じである,,,,,,0,1,は,3,と違いますか？,,,,
30,0,1,は,2,より多い,,,,,,,,,,,,,,,,0,2,は,1,より多いですか？,,,,
31,0,1,は,2,より多い,0,2,は,3,より多い,,,,,,,,,,,0,1,は,2,より多いですか？,,,,
32,0,1,は,2,より多い,0,2,は,3,より多い,,,,,,,,,,,0,2,は,3,より少ないですか？,,,,
33,0,1,は,2,より少ない,0,2,は,3,より少ない,,,,,,,,,,,0,1,は,3,より少ないですか？,,,,
34,0,1,は,2,より少ない,0,2,は,3,より少ない,,,,,,,,,,,0,2,は,3,より多いですか？,,,,
35,0,1,は,2,より多い,0,3,は,1,より多い,,,,,,,,,,,0,1,は,3,より多いですか？,,,,
36,0,1,は,2,より多い,0,3,は,1,より多い,,,,,,,,,,,0,3,は,2,より多いですか？,,,,
37,0,1,は,2,より少ない,0,3,は,1,より少ない,,,,,,,,,,,0,3,は,1,より多いですか？,,,,
38,0,1,は,2,より多い,0,2,は,3,より多い,0,3,は,4,より多い,,,,,,0,1,は,3,より多いですか？,,,,
39,0,1,は,2,より少ない,0,2,は,3,より少ない,0,3,は,4,より少ない,,,,,,0,3,は,2,より少ないですか？,,,,
40,0,1,は,2,より多い,0,3,は,2,より多い,0,4,は,3,より多い,,,,,,0,4,は,1,より少ないですか？,,,,
41,0,1,は,2,より多い,0,3,は,1,より多い,0,4,は,3,より多い,,,,,,0,4,は,2,より少ないですか？,,,,
42,0,1,は,2,より少ない,0,3,は,1,より少ない,0,4,は,2,より少ない,,,,,,0,4,は,2,より少ないですか？,,,,
43,0,1,は,2,より後である,,,,,,,,,,,,,,,,0,1,は,2,の後ですか？,,,,
44,0,1,は,2,より前である,0,2,は,3,より前である,,,,,,,,,,,0,3,は,2,の前ですか？,,,,
45,0,1,は,2,より前である,0,2,は,3,より前である,,,,,,,,,,,0,3,は,1,の前ですか？,,,,
46,0,1,は,2,より後である,0,2,は,3,より後である,,,,,,,,,,,0,2,は,1,の後ですか？,,,,
47,0,1,は,2,より後である,0,2,は,3,より後である,,,,,,,,,,,0,3,は,1,の前ですか？,,,,
48,0,1,は,2,より前である,0,3,は,1,より前である,,,,,,,,,,,0,3,は,2,の後ですか？,,,,
49,0,1,は,2,より後である,0,3,は,1,より後である,,,,,,,,,,,0,3,は,1,の後ですか？,,,,
50,0,1,は,2,より後である,0,3,は,1,より後である,,,,,,,,,,,0,2,は,3,の前ですか？,,,,
51,0,1,は,2,より前である,0,2,は,3,より前である,0,3,は,4,より前である,,,,,,0,4,は,2,の前ですか？,,,,
52,0,1,は,2,より後である,0,2,は,3,より後である,0,3,は,4,より後である,,,,,,0,2,は,4,の前ですか？,,,,
53,0,1,は,2,より前である,0,3,は,2,より前である,0,4,は,3,より前である,,,,,,0,2,は,4,の後ですか？,,,,
54,0,1,は,2,より後である,0,3,は,1,より後である,0,4,は,3,より後である,,,,,,0,1,は,4,の前ですか？,,,,
55,0,1,は,2,より後である,0,3,は,1,より後である,0,4,は,3,より後である,,,,,,0,2,は,4,の前ですか？,,,,
56,0,1,は,2,と同じである,0,3,は,4,と同じである,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
57,0,1,は,2,の反対である,0,3,は,4,の反対である,,,,,,,,,,,0,2,から,1,は、,3,から,4,と違いますか？
58,0,1,は,2,より前である,0,3,は,4,より前である,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
59,0,1,は,2,より前である,0,3,は,4,より前である,,,,,,,,,,,0,2,から,1,は、,3,から,4,と違いますか？
60,0,1,は,2,と同じである,0,3,は,4,の反対である,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
61,0,1,は,2,の反対である,0,3,は,4,と同じである,,,,,,,,,,,0,2,から,1,は、,3,から,4,と違いますか？
62,0,1,は,2,より後である,0,3,は,4,より前である,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
63,0,1,は,2,より後である,0,3,は,4,より前である,,,,,,,,,,,0,2,から,1,は、,3,から,4,と違いますか？
64,0,1,は,2,より多い,0,3,は,4,より多い,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
65,0,1,は,2,より少ない,0,3,は,4,より少ない,,,,,,,,,,,0,2,から,1,は、,3,から,4,と同じですか？
66,0,1,は,2,より多い,0,3,は,4,より少ない,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
67,0,1,は,2,より少ない,0,3,は,4,より多い,,,,,,,,,,,0,1,から,2,は、,3,から,4,と同じですか？
